period,department,line_item,amount
2024-01,Sales,Revenue,485000
2024-01,Sales,Cost of Goods Sold,210000
2024-01,Sales,Sales Commissions,24000
2024-01,Marketing,Digital Advertising,38000
2024-01,Marketing,Events & Sponsorships,12000
2024-01,Operations,Salaries,95000
2024-01,Operations,Rent & Utilities,18000
2024-01,Operations,Software & Tools,8500
2024-01,Finance,Salaries,42000
2024-01,Finance,Audit & Compliance,6000
2024-02,Sales,Revenue,512000
2024-02,Sales,Cost of Goods Sold,198000
2024-02,Sales,Sales Commissions,26000
2024-02,Marketing,Digital Advertising,45000
2024-02,Marketing,Events & Sponsorships,9000
2024-02,Operations,Salaries,95000
2024-02,Operations,Rent & Utilities,19500
2024-02,Operations,Software & Tools,9200
2024-02,Finance,Salaries,42000
2024-02,Finance,Audit & Compliance,4500
2024-03,Sales,Revenue,539000
2024-03,Sales,Cost of Goods Sold,221000
2024-03,Sales,Sales Commissions,27000
2024-03,Marketing,Digital Advertising,52000
2024-03,Marketing,Events & Sponsorships,18000
2024-03,Operations,Salaries,97000
2024-03,Operations,Rent & Utilities,18000
2024-03,Operations,Software & Tools,8800
2024-03,Finance,Salaries,43000
2024-03,Finance,Audit & Compliance,5500
